eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_auc_roc,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,latency_ms,model,hf_id,train_sec,epochs_ran,best_epoch,max_epochs,patience,run_utc
0.8590095639228821,0.773286467486819,0.7426605297072242,0.7436420554640494,0.732688588386048,0.9634531693706044,4.0235,141.421,4.474,11.0,8.15,mBERT,bert-base-multilingual-cased,733.5,11.0,7.0,15.0,4.0,2026-09-20T10:39:09Z
0.7999930381774902,0.7785588752196837,0.6993211373044558,0.7078446690054583,0.701330325620932,0.9667250734115976,3.8389,148.218,4.689,10.0,7.39,Tagalog-RoBERTa,jcblaise/roberta-tagalog-base,631.8,10.0,6.0,15.0,4.0,2026-09-20T10:39:09Z
,0.7961335676625659,0.7539221589625303,0.6473960330293288,0.6863648177683265,0.9484141621726881,,,,,3.88,SVM,classical baseline,0.5,,,,,
0.9469650387763976,0.7715289982425307,0.6656778071267697,0.6591649312810429,0.6599484147871245,0.9551649665340688,4.4358,128.276,4.058,13.0,8.61,ALBERT-Base,albert-base-v2,832.0,13.0,9.0,15.0,4.0,2026-09-20T10:39:09Z
1.2570306062698364,0.7750439367311072,0.6950937317704181,0.6054516448288499,0.6325812188516088,0.9445904162685352,4.3376,131.179,4.15,15.0,7.8,Tagalog-BERT,jcblaise/bert-tagalog-base-cased,1041.1,15.0,14.0,15.0,4.0,2026-09-20T10:39:09Z
,0.7627416520210897,0.6997359656404915,0.5913317298617483,0.6305335216555809,0.9435281293287026,,,,,0.62,LSTM,classical baseline,9.3,,,,,
0.9671245813369752,0.7592267135325131,0.6438344641469642,0.6008126076314046,0.6178759566194744,0.9363332976559616,2.1656,262.751,8.312,15.0,4.09,Tagalog-DistilBERT,jcblaise/distilbert-tagalog-base-cased,510.4,15.0,11.0,15.0,4.0,2026-09-20T10:39:09Z
1.131962537765503,0.7311072056239016,0.5547090051743336,0.5480800872986128,0.5409729131535143,0.9329875884683904,4.5015,126.404,3.999,15.0,9.03,Tagalog-ELECTRA,jcblaise/electra-tagalog-base-cased-discriminator,1030.9,15.0,13.0,15.0,4.0,2026-09-20T10:39:09Z
,0.7504393673110721,0.7693789230008311,0.47443479202257927,0.5372579073394449,0.9115969495542048,,,,,1.04,MNB,classical baseline,0.1,,,,,
